packet_count,byte_count,duration_sec,byte_rate,label
2,120,0,0,0
5,502,0,0,0
1,60,0,0,0
4,368,0,0,0
2,120,0,0,0
5,482,0,0,0
1,60,0,0,0
5,432,0,0,0
0,0,0,0,0
3,280,0,0,0
6,360,2,180.0,0
2,196,1,196.0,0
1,98,1,98.0,0
2,196,1,196.0,0
1,98,1,98.0,0
2,196,1,196.0,0
1,98,1,98.0,0
2,196,1,196.0,0
1,98,1,98.0,0
2,196,1,196.0,0
1,98,1,98.0,0
2,196,0,0,0
1,98,0,0,0
2,196,0,0,0
1,98,0,0,0
78,7090,2,3545.0,0
1,60,2,30.0,0
2,196,1,196.0,0
1,98,1,98.0,0
2,196,1,196.0,0
1,98,1,98.0,0
2,196,0,0,0
1,98,0,0,0
2,196,0,0,0
1,98,0,0,0
71,6326,2,3163.0,0
5,300,2,150.0,0
2,196,1,196.0,0
1,98,1,98.0,0
2,196,1,196.0,0
1,98,1,98.0,0
2,196,1,196.0,0
1,98,1,98.0,0
2,196,1,196.0,0
1,98,1,98.0,0
2,196,1,196.0,0
1,98,1,98.0,0
2,196,1,196.0,0
1,98,1,98.0,0
2,196,1,196.0,0
1,98,1,98.0,0
2,196,0,0,0
1,98,0,0,0
81,7340,2,3670.0,0
3,180,2,90.0,0
2,196,1,196.0,0
1,98,1,98.0,0
2,196,1,196.0,0
1,98,1,98.0,0
2,196,1,196.0,0
1,98,1,98.0,0
2,196,1,196.0,0
1,98,1,98.0,0
72,6564,2,3282.0,0
4,240,2,120.0,0
2,196,1,196.0,0
1,98,1,98.0,0
2,196,1,196.0,0
1,98,1,98.0,0
2,196,1,196.0,0
1,98,1,98.0,0
2,196,1,196.0,0
1,98,1,98.0,0
2,196,1,196.0,0
1,98,1,98.0,0
2,196,1,196.0,0
1,98,1,98.0,0
2,196,1,196.0,0
1,98,1,98.0,0
78,6832,2,3416.0,0
5,300,4,75.0,0
2,196,3,65.33333333333333,0
1,98,3,32.666666666666664,0
2,196,3,65.33333333333333,0
1,98,3,32.666666666666664,0
2,196,3,65.33333333333333,0
1,98,3,32.666666666666664,0
2,196,3,65.33333333333333,0
1,98,3,32.666666666666664,0
97,10534,4,2633.5,0
4,240,4,60.0,0
2,196,3,65.33333333333333,0
1,98,3,32.666666666666664,0
2,196,3,65.33333333333333,0
1,98,3,32.666666666666664,0
2,196,2,98.0,0
1,98,2,49.0,0
2,196,2,98.0,0
1,98,2,49.0,0
98,10488,4,2622.0,0
8,480,4,120.0,0
2,196,3,65.33333333333333,0
1,98,3,32.666666666666664,0
2,196,3,65.33333333333333,0
1,98,3,32.666666666666664,0
2,196,3,65.33333333333333,0
1,98,3,32.666666666666664,0
2,196,3,65.33333333333333,0
1,98,3,32.666666666666664,0
2,196,3,65.33333333333333,0
1,98,3,32.666666666666664,0
2,196,3,65.33333333333333,0
1,98,3,32.666666666666664,0
2,196,3,65.33333333333333,0
1,98,3,32.666666666666664,0
105,11104,4,2776.0,0
10,600,4,150.0,0
2,196,3,65.33333333333333,0
1,98,3,32.666666666666664,0
2,196,3,65.33333333333333,0
1,98,3,32.666666666666664,0
2,196,3,65.33333333333333,0
1,98,3,32.666666666666664,0
2,196,3,65.33333333333333,0
